"Office Location","Activity Type","Site Name","Pollution Level Detected"
Brisbane,"Air Quality Check","Speers Point Park",499.98
Brisbane,"Air Quality Check","Merewether Beach",499.98
"Gold Coast","Soil Quality Test","Mount Sugarloaf",499.96
Canberra,"Noise Level Measurement","Warners Bay Foreshore",499.94
Adelaide,"Soil Quality Test","King Edward Park",499.93
Perth,"Noise Level Measurement","Glenrock State Conservation Area",499.9
"Gold Coast","Air Quality Check","Toronto Foreshore",499.88
Darwin,"Water Quality Test","Hunter Wetlands Centre",499.87
Canberra,"Noise Level Measurement","Richley Reserve",499.85
Sydney,"Soil Quality Test","Mount Sugarloaf",499.82
Sydney,"Air Quality Check","Braye Park",499.81
Melbourne,"Soil Quality Test","Warners Bay Foreshore",499.78
Melbourne,"Noise Level Measurement","King Edward Park",499.78
Canberra,"Air Quality Check","Warners Bay Foreshore",499.76
Sydney,"Water Quality Test","Charlestown Park",499.65
Melbourne,"Water Quality Test","Richley Reserve",499.63
Perth,"Air Quality Check","Charlestown Park",499.53
"Gold Coast","Noise Level Measurement","Awaba State Forest",499.51
Sydney,"Soil Quality Test","Merewether Beach",499.49
Brisbane,"Air Quality Check","Redhead Beach",499.47
Sydney,"Noise Level Measurement","Awaba State Forest",499.47
Newcastle,"Water Quality Test","Heaton State Forest",499.45
Canberra,"Noise Level Measurement","Jesmond Park",499.37
Darwin,"Noise Level Measurement","Lambton Park",499.32
Brisbane,"Water Quality Test","King Edward Park",499.28
Canberra,"Soil Quality Test","Heaton State Forest",499.24
Sydney,"Water Quality Test","King Edward Park",499.23
Brisbane,"Noise Level Measurement","Mount Sugarloaf",499.21
Brisbane,"Air Quality Check","Lambton Park",499.19
Hobart,"Soil Quality Test","Richley Reserve",499.17
Melbourne,"Noise Level Measurement","Richley Reserve",499.13
Darwin,"Soil Quality Test","Toronto Foreshore",499.12
"Gold Coast","Air Quality Check","King Edward Park",499.09
Melbourne,"Noise Level Measurement","Heaton State Forest",499.03
"Gold Coast","Noise Level Measurement","Merewether Beach",499
Perth,"Soil Quality Test","Nobbys Beach",498.99
Perth,"Water Quality Test","Blackbutt Nature Reserve",498.98
Canberra,"Air Quality Check","Nobbys Beach",498.95
Newcastle,"Noise Level Measurement","Newcastle Beach",498.91
Newcastle,"Air Quality Check","Hunter Wetlands Centre",498.82
Melbourne,"Air Quality Check","Jesmond Park",498.81
Newcastle,"Soil Quality Test","Newcastle Beach",498.8
Melbourne,"Air Quality Check","Newcastle Beach",498.74
Hobart,"Noise Level Measurement","Croudace Bay Park",498.7
Hobart,"Water Quality Test","Warners Bay Foreshore",498.68
Adelaide,"Noise Level Measurement","Awaba State Forest",498.66
Canberra,"Water Quality Test","Blackbutt Nature Reserve",498.61
Hobart,"Water Quality Test","Glenrock State Conservation Area",498.6
Adelaide,"Soil Quality Test","Belmont Wetlands State Park",498.57
Newcastle,"Air Quality Check","Glenrock State Conservation Area",498.52
Perth,"Noise Level Measurement","Charlestown Park",498.52
Hobart,"Air Quality Check","Toronto Foreshore",498.52
Darwin,"Air Quality Check","Speers Point Park",498.52
Sydney,"Air Quality Check","Speers Point Park",498.48
Melbourne,"Water Quality Test","Newcastle Beach",498.48
Sydney,"Soil Quality Test","Belmont Wetlands State Park",498.46
"Gold Coast","Noise Level Measurement","Hunter Wetlands Centre",498.38
Brisbane,"Soil Quality Test","Belmont Wetlands State Park",498.36
Newcastle,"Water Quality Test","Croudace Bay Park",498.32
Canberra,"Noise Level Measurement","Croudace Bay Park",498.24
Adelaide,"Noise Level Measurement","King Edward Park",498.23
Sydney,"Soil Quality Test","Redhead Beach",498.21
Darwin,"Noise Level Measurement","Hunter Wetlands Centre",498.19
Darwin,"Air Quality Check","Merewether Beach",498.16
Adelaide,"Noise Level Measurement","King Edward Park",498.14
Perth,"Noise Level Measurement","Charlestown Park",498.13
Canberra,"Air Quality Check","Richley Reserve",498.08
Perth,"Air Quality Check","Glenrock State Conservation Area",498.07
Hobart,"Noise Level Measurement","Blackbutt Nature Reserve",498.03
Melbourne,"Soil Quality Test","Warners Bay Foreshore",497.96
Adelaide,"Water Quality Test","Braye Park",497.95
Darwin,"Soil Quality Test","Redhead Beach",497.95
"Gold Coast","Noise Level Measurement","Belmont Wetlands State Park",497.93
Melbourne,"Air Quality Check","Waratah Park",497.9
"Gold Coast","Soil Quality Test","King Edward Park",497.84
Hobart,"Noise Level Measurement","Glenrock State Conservation Area",497.84
Melbourne,"Soil Quality Test","Blackbutt Nature Reserve",497.8
Canberra,"Water Quality Test","Charlestown Park",497.78
Canberra,"Soil Quality Test","Heaton State Forest",497.73
Melbourne,"Soil Quality Test","Croudace Bay Park",497.71
Hobart,"Noise Level Measurement","Watagan Mountains",497.68
"Gold Coast","Air Quality Check","Speers Point Park",497.61
Adelaide,"Water Quality Test","Speers Point Park",497.6
Sydney,"Air Quality Check","Speers Point Park",497.56
Sydney,"Water Quality Test","King Edward Park",497.55
Perth,"Noise Level Measurement","Croudace Bay Park",497.54
Adelaide,"Noise Level Measurement","Speers Point Park",497.46
Canberra,"Water Quality Test","Newcastle Beach",497.42
Melbourne,"Air Quality Check","Nobbys Beach",497.38
Canberra,"Soil Quality Test","Croudace Bay Park",497.37
"Gold Coast","Soil Quality Test","Speers Point Park",497.36
Hobart,"Water Quality Test","Jesmond Park",497.31
Canberra,"Soil Quality Test","Croudace Bay Park",497.29
Brisbane,"Water Quality Test","Merewether Beach",497.28
Sydney,"Soil Quality Test","Toronto Foreshore",497.26
